citation,year,research_question,location,time_period,data_source,sample,sample_size,method,identification,explanatory,explanatory_measure,outcome_measure,controls,key_results,limitations,theme,field,related_articles,comments
"Adhvaryu, Achyuta, Prashant Bharadwaj, James Fenske, Anant Nyshadham, and Richard Stanley. 2016. “Dust and Death: Evidence from the West African Harmattan.” Centre for the Study of African Economies, February.",2016,What is the relationship between dust exposure in utero and infant and child mortality across Western Africa?,Western Sub-Saharan Africa,Aug. 1985-Dec. 2006,"Demographic and health surveys (DHS) from: Benin, Burkina Faso, Ghana, Guinea, the Ivory Coast, Liberia, Mali, Niger, Nigeria, Senegal, Sierra Leone, and Togo.","Data includes: demographic information for mothers, child information incl. length of life, geographic datasets to merge children to the nearest point of dust data.",,"Match child specific information, grouped by survey clusters, to the nearest point of dust data.",Panel,PM2.5; dust,Satellite data for dust pollution (Aug. 1985 (9 months prior to birth of Apr. 1986 cohort) - Dec. 2006): hourly concentrations of PM2.5.,Child mortality rates,"Child birth order, gender, multiple birth, mother's age at birth, mother's education level, mother's religion.; Rainfall, temperature, country-specific seasonal factors, year-of-birth-fixed effects","1) The effect of a one standard deviation increase in in utero PM2.5 exposure leads to a 0.39% increase in infant mortality, roughly 3.5% of the mean (p.17) (I am not sure how many deaths/1000 this correlates to.) 2) The impacts of the dust declined over the years in the study, despite an absence of a reduction in level of dust. 3) Similarly, countries with higher economic development, more mechanized agriculture, more developed healthcare system, and higher rural access to safe water exhibit decreased impacts of PM2.5 on mortality. (See p. 25 for graph of specific macroeconomic moderating factors)","Uses satellite data to measure PM2.5 levels. Subjects were grouped into clusters, by similar area and matched with the nearest satellite monitoring grid dust point. The maximum distance between each cluster and grid points is not listed and appears to be of significant distance in some locations (p. 14). The spatial resolution of the dust data is more spread out than the DHS. However, PM2.5 can travel great distances so this may not be of concern. Also, authors attempt to account for this in their analysis (p. 27).",Impact on child/infant health,Public health; economics,Jayachandran (2009); Schwartz and Neas (2000),"1) This is one of the few articles measuring the impacts of PM2.5 in poor developing countries. 2) This study focuses on pollution from naturally occuring dust (made up of ""quartz, clay, colloids, and fine mica flakes""), rather than anthropogenic pollution. / One of few articles measuring the impacts of PM2.5 in developing countries."
"Ailshire, J. A., and E. M. Crimmins. 2014. “Fine Particulate Matter Air Pollution and Cognitive Function Among Older US Adults.” American Journal of Epidemiology 180 (4): 359–66. https://doi.org/10.1093/aje/kwu155.",2014,Does PM2.5 exposure increase cognitive decline in older adults?,United States,2004,Data: 2004 Health and Retirement Study (HRS) survey. HRS collects data about the cognitive status of older Americans as well as other social and demographic pieces of information.,,"Sample size analyzed: 13,996 men and women aged 50 years or older.","HRS data was linked, down to the level of the 2000 census tracts, with corresponding PM2.5 air pollution data for that location.",Panel,PM2.5,"U.S. EPA’s Air Quality System national network of air monitoring stations, from 2004.; Pollution data contained 24-hour daily means of PM2.5 from air quality monitors within a 60 km radius of the center of each census tract. Greater weight was given to readings closer to the center of each census tract. Daily means were aggregated to create annual levels.","Telephone Interview for Cognitive Status:; The test assessed immediate and delayed memory, working memory, processing speed, awareness/orientation, knowledge and language. Test is on a 35-point scale.","Sociodemographic: Age, sex, and race/ethnicity; Socioeconomic: educational attainment, current employment status, household income and wealth. Smoking status was included.; Census tract–level covariates: the proportion of residents aged 25 years or older without a high school degree and median household income","1) Living in areas with annual PM2.5 concentrations above EPA standards is harmful to older adults’ cognition. However, there was no linear association identified (i.e. people living in the worst polluted areas were not necessarily the hardest impacted). 2) The results indicated that the strongest identifiable association between increased PM2.5 exposure and cognitive impairment was a decline in episodic memory, which is an early sign of dementia onset in healthy older adults.","1) The study could not include air pollution exposure at the individual level (i.e. during commutes and at work), as the only data available was from EPA outdoor pollution monitors within 60km. However, it was noted that given the older demographic, many subjects were already retired and therefore, the influence of workplace and commute air pollution was believed to be minimal. 2) The study utilized data exclusively from 2004 and therefore had limited ability to speak on the impacts of cumulative long-term pollution exposure.",Impact on elderly cognition,Public health; science,"Zanobetti and Schwartz (2009); Calderón-Garcidueñas, Reed, and Maronpot (2004); Levesque et al. (2011)","Authors ran secondary analyses which included data that had previously been omitted, for various reasons, and found that their associations still held true."
"Anderson, Michael L. 2015. “As the Wind Blows: The Effects of Long-Term Exposure to Air Pollution on Mortality.” Working Paper 21578. National Bureau of Economic Research. https://doi.org/10.3386/w21578.",2015,"Estimating the effect of long-term exposure to air pollution, specifically ultrafine particulates (UFP), on elderly mortality rates by using wind patterns near Los Angeles highways.",Los Angeles,1999-2001,"Primary metric: Census block, age-specific mortality rate.; This is calculated from 2 data sets which included: info on every death in CA from 1999-2001, associated address, age, and cause of death for each decedent. Also, census block level information such as population by age group, gender, and race.",,,"For each census block included, authors calculated: Three-year census block mortality rates for age groups: ≥65, ≥70, and ≥75 years old; distance and direction from the nearest major highway. Authors compared the mortality rates of census blocks that are close together but differ in percentage of time experiencing downwind exposure from highways.",Panel,PM2.5; UFP; NO2; NO,"Authors tested blocks within the dispersion area of major pollutants: UFP, NO, and NO2. Other pollutants have a shorter dispersion area (p. 4). Each census block located 50-600 meters away from a major highway were studied. Each was assigned a wind speed and direction based off of the nearest weather station data from the previous year.; Notes: 1) 50-600m was determined to be an ideal distance for inclusion given pollutant dispersion distances and avoidance of noisy data near the highway. 2) UFP is <0.1 micrometers in diameter (PM2.5 = <2.5 micrometers in diameter)",Mortality rate,"Distance from highway (blocks outside of the parameters were excluded) (p. 9), weather station fixed effects","1) Authors used different types of regressions: least squares, ordinary least squares (OLS), and two-stage least squares (2SLS). Each produced a slightly different finding:; For least squares, 75+ year old 3-year mortality rate increases by 3% (all causes) with 1 SD increase in downwind frequency. For 2SLS, ceteris paribus, the mortality rate increases by 5%. 2) Overall, moving from the upwind to the downwind side of the highway increases pollution exposure levels by 43% and raises mortality rates by 3.6-6.8% (p. 21). 3) Removing exhaust pollution (i.e. switching to zero-emissions cars) adds an average of 3-months to life expectancy. Given the 1.55 million people in the sample, this would provide an economic gain of $37.2 billion (with VSL=$100,000) (p.23). 4) 70% of the US population lives in urban areas. There are currently no regulations on UFP. There are economic and health benefits to be gained by regulating it.","Pollution monitors were not used as a part of the main experiment and therefore neither specific pollutants nor their levels are a key part of the findings. On p. 19 they reference limited data from monitors measuring NO2. Also, they note that available monitors did not measure UFP (p. 18)",Impact on elderly health,Public health; economics,"Currie and Neidell (2005); Currie, Neidell, and Schmieder (2009)","1) Distinguishing the causal effects of air pollution on mortality from unobserved correlated confounding factors can be difficult (p. 3) 2) Details of distances of downwind dispersion plumes of pollutants: UFPM (570-910m), NO and NO2 (550-570m), CO, PM2.5, and PM10 (100-200m) 3) Studies show that without filtration systems, most homes are highly penetrated by UFP. 4) Though there are limited controls used for differing populations, the study relies on comparing nearby, presumably similar, blocks which lie in different directions of wind-blown highway pollution. / Similar elements here to your proposed Nairobi experiment. Includes information about wind direction determination. / Identification: panel, though the authors refer to instrumental variables on p. 14."
"Arceo, Eva, Rema Hanna, and Paulina Oliva. 2016. “Does the Effect of Pollution on Infant Mortality Differ Between Developing and Developed Countries? Evidence from Mexico City.” The Economic Journal 126 (591): 257–80. https://doi.org/10.1111/ecoj.12273.",2016,"Much of the research regarding the relationship between pollution and infant/neonatal mortality takes place in developed countries. Does this relationship differ between developing and developed countries, given the different social, economic, political, and logistical variances in play?",Mexico: many municipalities of Mexico City,1997-2006,Data: records by municipality (neighborhood) of Mexico City of neonatal (under 28 days) and infant (under 1 year) births and death records; gender; cause of death; municipality of residence.,,,"Mortality per 100,000 live births and weekly pollution levels per municipality were calculated. The different data sets were analyzed to identify any correlation. Data from municipalities varying in pollution level was used to estimate the marginal effect of pollution in developing countries as compared to developed countries.",Instrumental variables,PM10; O3; SO2; CO,"Hourly measures of pollution used to calculate maximums for: CO, daily 8-hour average; PM10, daily 24-hour average; SO2 and O3, weekly averages.; Municipalities included in the study were located within 15km of a sensor (in total, 48 out of 56 municipalities in Mexico City).; Note: The description of the pollution measurements used was worded unclearly (p. 9).","Weekly, municipality-level, mortality rates","Thermal inversion, temperature, weather, time-based fixed effects within each municipality","1) A 1% increase in PM10 over a year leads to a 0.42 percent increase in infant mortality. This is comparable to the correlation in the US, despite that PM10 levels in Mexico City are approximately double those in the US. 2) A 1% increase in CO results in a 0.23% increase in infant mortality. This is a larger correlation than in the US. 3) There is a non-linear relationship between CO and infant mortality. There is a linear relationship between PM10 and mortality. 4) Using U.S. data to estimate the benefits derived from cleaner air in the developing world may be biased for pollutants that exhibit a nonlinear relationship between pollution and mortality. 5) The costs of avoidance behaviors differ between developed and developing countries. Therefore, using the relationships between pollution and mortality, estimated in the US, is likely inaccurate for a CBA of environmental regulations. For example avoidance behavior, like health care or cleaner housing, which can play a significant role in pollution-mortality relationships, can be more expensive in the developing world. Thus a relatively small decrease in pollution may have a larger overall health impact in the developing world.","The pollution data was gathered from what the authors cite as relatively few sensors given the size of the city: PM10, 10 stations from 1997 to 1999, 16 stations after 2000; SO2, 26 stations; CO, 24 stations; O3, 21 stations. They note that these sensors, however, provide accurate data.",Impact on child/infant health,Public health; science,"Currie and Neidell (2005); Knittel, Miller, and Sanders (2011);; Chay and Greenstone (2003); Currie, Neidell, and Schmeider (2009); Zivin and Neidell (2009)","1) Authors also ran analysis constraining to include only municipalities located within 8km and 10km of a sensor (Appendix Table 2). This increased accuracy of data but decreased the quantity of relevant municipalities. 2) Authors controlled to identify which infant deaths were likely from causes other than pollution (i.e. congenital, accidents, homicides), something that was not mentioned in all similar studies (p. 11). 3) Authors thoroughly compared their findings in Mexico City to findings in comparable studies done in the US, in order to compare the relationship between pollutants in developing and developed countries. See ""Related Articles"" column for studies utilized. / Highly relevant"
"Bharadwaj, Prashant, Matthew Gibson, Joshua Graff Zivin, and Christopher Nielson. 2017. “Gray Matters: Fetal Pollution Exposure and Human Capital Formation.” Journal of the Association of Environmental and Resource Economists 4: 505–42.",2017,How does CO (and PM10 and O3) fetal exposure affect children's performance on national testing in 4th grade?,"Santiago, Chile",births between 1992-2001 and corresponding test scores between 2002-2010,,"Sample data: Health: All children born in 1992–2001 in Santiago. Includes: sex, birth weight, length, and weeks of gestation for each birth. Also included demographic information on the parents: age, education, marital status, and municipality of residence. Each mother has an ID number which allowed the authors to implement fixed effects between siblings.; Educational: Test scores for every student, 2002-2010 in the national standardized test which tests math, language, and science.",,"Individuals' health and educational data were matched, providing 623,002 samples. Children's exposure to pollutants while in utero was analyzed as compared to their 4th grade testing scores.",Panel,PM10; O3; CO,"Chilean Ministry of the Environment sensor data, 1992-2001 in Santiago. 3 sensors in the city measured: CO, 8-hr moving average; PM10, 24-hour moving average; O3, hourly.; Daily AQI (air quality index) level was calculated using daily pollution level data in order to provide aggregate data.; Children included in the study were matched with the data coming from the closest sensor (no sensor distance constraints).",National 4th grade test score,"Weather (incl. temperature), individual level avoidance behavior, season, mother's age and education, student gender","1) Strong negative effect from fetal exposure to CO on math and language skills, especially during the 1st and 3rd trimesters (important for brain development).; How much? 1 SD increase in CO exposure during the 3rd trimester correlates to 0.036 SD decrease in math and 0.042 SD decrease in language scores. 2) Between the early-1990's and mid-200's, pollution in Santiago declined by 50+%. Authors estimate that the resulting reduced impact on testing scores could correlate to ~$1,000 per person born during these cleaner years. 3) Poverty also plays a big role in hindering educational attainment. It is difficult to distinguish between the impacts of poverty and pollution on individuals as they often go hand in hand (poor generally live in the most polluted areas).",1) Data used likely not as precise as other studies. Authors rely on only 3 pollution sensors for a large city. Many other studies utilize dozens of sensors and constrain analysis for subject distance from sensors. Authors noted that their results were stronger when they ran testing and tried limiting the subject distance from monitors (appendix A3) 2) Study does not control for PM10 as it is highly correlated to CO in terms of origin. Authors note that replacing CO with PM10 yields qualitatively similar results.,Impact on child/infant health and Impact on cognition,Public health; economics,Articles by Currie and Neidell are highly related,"1) One of the 3 sensors in the study was located at a higher altitude, located above the inversion layers (which trap pollution near the ground). 2) Authors focus heavily on the impacts of exposure during different trimesters of pregnancy. Other studies do touch on this, though not as in depth (see Currie et al. 2009 and Currie and Neidell 2005). / Compares air pollution and mortality rates in the developing world, not just in Western countries."
"Calderón-Garcidueñas, Lilian, Antonieta Mora-Tiscareño, Esperanza Ontiveros, Gilberto Gómez-Garza, Gerardo Barragán-Mejía, James Broadway, Susan Chapman, et al. 2008. “Air Pollution, Cognitive Deficits and Brain Abnormalities: A Pilot Study with Children and Dogs.” Brain and Cognition 68 (2): 117–27. https://doi.org/10.1016/j.bandc.2008.04.008.",2008,How does pollution exposure impact cognitive functioning and brain structure in children and dogs?,Mexico: Mexico City and surrounding area,2006-2007,,"Test group (from Mexico City, polluted mega city): 55 children from middle class families (age ~10); 7 healthy young dogs; Control group (from low-pollution cities): 18 children from middle class families (age ~10) from Polotitlán, Mex.; samples of brain material from 5 young dogs from Tlaxcala, Mex.",,"Children were given a physical, psychometric testing, gave blood samples underwent a brain MRI (23 children from Mexico City, 13 from Polotitlán). Results for children from both cities were compared and analyzed.; Test dogs had brain MRIs and necropsy (autopsy) conducted (following euthanasia). Control dog brain material was similarly evaluated in a necropsy.",Panel,PM2.5; PM10; NO2; O3; SO2; CO; Pb,"Southwest Mexico City:; PM2.5 - annual average concentration of 25 lg/m3; Lipopolyssacharides detected in PM10 samples - 15.3–20.6 ng/mg of PM10; endotoxin concentrations - 59 EU/mg PM10; Polotitlán:; Criteria pollutants: O3, PM10, SO2, NO2, CO and Pb - all pollutant levels are below US standards (as of 2008)","Psychometric test scores (children), MRI brain scans, blood tests, brain necropsy results (dogs only)","Consistencies amongst sample: All children: come from middle class families, slept in bedrooms with no carpeting/draperies with open windows for ventilation, lived in households with kitchens separated from the living and sleeping areas and used gas for cooking. Mothers' education level was consistent. Risk factors for neurological or cognitive disorders were screened.; Test group dogs: All were mongrels, healthy, vaccinated and raised in indoor-outdoor kennels in Mexico City. Aged 12-19 months.; Control dogs: Raised in Tlaxcala, a city with low pollution 114km east of Mexico City.","1) In half of the areas of cognitive testing, children living in highly polluted urban areas exhibited deficits of 2-6% in fluid cognition, memory, and executive functions, as compared to similar children living in the polluted city. 2) 56.5% of the children living in Mexico City city exhibited ""white matter hyperintense lesions"" on their brains in the MRI. Only 7.6% living in the less polluted city exhibited a single lesion. These lesions are indicative of inflammation and potentially contribute to cognitive dysfunction and other health issues. Dogs from Mexico City, but not from the control city, also had neuroinflammation and vascular lesions. This helps provide further evidence that air pollution is a key factor in cognitive issues (p. 122). 3) Ultrafine particulate matter was observed in the frontal lobe only in the Mexico City dogs. This means that Ultrafine PM can reach the brain and is likely contributing to the neuroinflammation.","The study has a small sample group. I am not sure if enough children were tested for the results to be definitive. Also, the authors do not track exact pollution levels, though they make a convincing case that pollution is the significant difference between the test and control populations.",Impact on child/infant health,Public health; science,,A good medical study showing the physical and associated cognitive impacts of PM on the brain.; It is one of the few studies that discuss ultrafine particulate matter. / One of the few medical-focused papers to explore pollution in developing countries
"Chang, Tom, Joshua Graff Zivin, Tal Gross, and Matthew Neidell. 2016. “Particulate Pollution and the Productivity of Pear Packers.” American Economic Journal: Economic Policy 8: 141–69.",2016,How does PM2.5 affect the productivity of indoor physical laborers?,Northern California,2001-2003,"Data: Payroll records from on Northern CA pear packing factory, 2001-2003. Workers were paid per-crate of pears packed.; Data includes: measures of regular time boxes packed, overtime boxes packed, regular time hours, and overtime hours worked for each packer each day. Daily attendance was also included.",,,Estimate the impact of fine particulate matter (PM2.5 and PM10) on worker productivity by comparing productivity records with corresponding pollution records for the same time periods.,Panel,PM2.5; PM10; NO2; O3; CO,"California Air Resources Board monitor, located 2.7 miles from the factory.; Hourly measurements: O3, CO, NO2; Six-day daily average: PM2.5, PM10",Worker Productivity,"Rain, temperature, wind speed, dew point, solar radiation","1) A 10 μg/m3 change in PM2.5 decreases productivity by 6%. The impacts of pollution on workers begin at levels well below current US air quality standards. 2) Given that the effects are likely to physiological impairments to a workers' ability to complete physically demanding tasks, other physical laborers are likely to be similarly affected by PM2.5. 3) From 1999-2008, on average, there was a nation-wide decline of 2.79 μg/m3 PM2.5, correlating to a total savings of $19.5 billion dollars. This same decline is estimated to have boosted housing values by $57.3 billion dollars. This is likely an underestimate of the actual value gained because people do not fully measure the health impacts of PM2.5 emissions.","1) Despite that the study focuses on PM2.5, their data only includes 6-day averages for PM2.5, meaning that they cannot pinpoint when the workers were exposed to the pollutant, thus making a precise correlation with declining productivity impossible. 2) Authors note, ""Given the many uncertainties involved"" in this experiment, their calculations are meant to be ""illustrative rather than providing a definitive estimate of welfare impacts"" of PM2.5 on productivity. The impacts of PM 2.5 are likely much wider reaching than what is calculated in this paper.",Impact on productivity,Public health; economics,"Zivin and Neidell (2012, 2013, 2014); Bento, Freedman, and Lang (2015)","1) PM2.5 can penetrate indoors at a rate of 70-100%, other pollutants are far less able to do so. 2) The authors utilized a time period with an uptick of PM2.5 originating from a relatively nearby forest fire to further test their hypothesis. / Presents evidence for fascinating and scary far-reaching implications of PM2.5 emissions."
"Chay, Kenneth Y., and Michael Greenstone. 2005. “Does Air Quality Matter? Evidence from the Housing Market.” Journal of Political Economy 113 (2): 376–424.",2005,How does air quality impact housing prices? What does this say about the priorities and knowledge possessed by home buyers?,United States,1969-1990,"Data: 1) EPA's Clean Air Act Amendments (CAAA) yearly county-level attainment/nonattainment designations. 2) Housing values: log median value of owner-occupied housing units in each county. 3) County Characteristics: County-level demographic and socioeconomic characteristics, neighborhood characteristics, fiscal/tax variables, and house characteristics.",,,Compare TSP levels and attainment/nonattainment status with housing prices in order to determine any association reflected in the buyers' marginal willingness to pay (MWTP).,Instrumental variables,TSP,"Nationwide EPA CAAA monitor network provided monitor-level measures for Total suspended particulates (TSP). Data contained the 4-highest daily readings for counties. Annual county-level geometric mean for TSP was calculated. TSPs include all particulate matter with a diameter <100μm.; TSP, as opposed to other pollutants, was chosen for this study because it has been measured for the longest period by the EPA's CAAA (therefore it has a large dataset) and is known to be detrimental to health.",Measure of pollution impact: Housing prices,"County-level demographic and socioeconomic characteristics (population density, race, education, etc.), neighborhood characteristics (crime rates, doctors, and hospital beds per capita), fiscal/tax variables (per capita taxes, expenditures etc.), and house characteristics.","1) Having non-attainment status leads to decreases in pollution in such counties. This corresponds to an increase in housing values at a rate of 0.28% per μg/m^3 reduction of TSP. This is a greater level of MTWP for cleaner air than previously identified. 2) TSP reductions led to a ~$45 billion value increase in the housing market in the mid-1970s across America. 3) From 1974-1980 across the US, TSPs concentrations declined by 6.3 μg/m3 in nonattainment counties and increased by 4.1 μg/m3 in attainment counties. Thus, nonattainment status in that period is associated with ~10 μg/m3 relative improvement in TSPs.","The study relies on county-level housing pricing data, which is somewhat arbitrary with regards to buyer's tastes (the existence of a county border likely does not alter housing tastes one either side of it, at least with regards to pollution). As such the authors were forced to operate under the assumption that there is a ""national housing market"" which reflects the MWTP of all Americans. It also means that the authors were not able to accurately examine local trends, like the influence of a coal plant near a specific neighborhood on the local residents' MWTP.",Impact on housing market prices,Public health; economics; science,Cited by many other papers in this review,"Authors note that their meta-analysis of 37 other studies on the same topic predicts that a 1 μg/m^3 decrease in TSP results in a 0.05-0.1% increase in property values. This is less than the findings which come from this paper. They conclude that the ""hedonic method"" is highly influenced by omitted variable bias. Also, individuals who live in more polluted areas are less likely able to move to cleaner areas due to socioeconomic reasons, and thus have a lower MWTP for clean air. / Very thorough article. Though it doesn't focus on health impacts of pollution, rather people's WTP for housing, given pollution."
"Chay, Kenneth Y., and Michael Greenstone. 2003. “The Impact of Air Pollution on Infant Mortality: Evidence from Geographic Variation in Pollution Shocks Induced by a Recession.” The Quarterly Journal of Economics 118 (3): 1121–67.",2003,"What effect does a reduction in total suspended particulates (TSPs) have on infant mortality rates? What effect did the 1981-82 US recession, which reduced TSP levels, have on infant mortality?",United States,1978-1984,Data is derived from the National Mortality Detail Files and National Natality Detail Files.,"Infant data: infant births and deaths, weight at birth, cause of death, infant health information, race, gender, county.; Parent data: socioeconomic and demographic characteristics, medical system utilization (incl. prenatal care), maternal health information.",,"Analysis compares changes in infant mortality rates in counties with large TSP reductions with counties with small or zero pollution reduction. Infant deaths are examined at different time periods after birth: 24 hours, 28 days, 1 year.",Natural experiment,TSP; dust,"Total suspended particle level (all particles with a diameter less than or equal to 40 micrometers) were measured. Nation-wide data was taken from ~4000 EPA monitors, operating from 1978-1984, which includes data from a period substantial reduction in TSPs during the 1981-82 recession and accompanying decline in industry. The frequency of readings was different at each monitor.; The annual concentration of TSPs for each county was calculated using a weighted average from the data of each monitor in the county, with the number of observations per monitor used as weights.",Infant mortality,"Weather, cause of infant death, race, gender, twins or more born, parent education information, marital status, immigrant or not, medical system utilization.","1) A 1 microgram/m3 reduction in TSPs corresponds to 4.2-6.6 fewer infant deaths per 100,000 live births (with a 0.35 elasticity), for counties with large and medium declines in TSPs in 1981-82. 2) Approximately 2500 fewer infants died between 1980-82 due to the reductions in air pollution. 3) As of 2003, a 1 microgram/m3 reduction in TSPs was associated with approx. 200 additional infants surviving to one year of age. This is worth about $320 million to the US economy (with an assumed VSL of $1.6 million/person). 4) Overall, TSPs have a larger impact on infant mortality than on reduced birth weights. A 1 microgram/m3 reduction in TSPs is associated with a 0.3 gram increase in the average birth weight of infants.","This study utilizes pollution data on a wide scale: annual monitor-level readings at the county level. While wide-scale trends are important, this study lacks the fine granularity of frequent pollution readings that other comparable studies have. Ex: Simeonova et al. (2018).; Also, the study does not differentiate between PM10, PM 2.5, or other sizes of PM, which are each known to have different health impacts.",Impact on child/infant health,Public health; economics,"Cited by: Arceo et al. (2016), Deryugina et al. (2016), Neidell (2004), Zivin and Neidell (2018), Jayachandran (2009)","The author notes that the study is designed to improve on prior studies' flaws. By utilizing the national TSP reduction during 1980-82, a natural event, their study likely circumvents issues of most omitted variable bias (p. 1123). They also may have addressed the issue of the prior TSP exposure influence (in studies of adults) by assigning TSP levels to an infant based off of the mother's exposure during pregnancy and the infant's exposure in the first few months of life. / Most cited across other articles"
"Currie, Janet, and Matthew Neidell. 2005. “Air Pollution and Infant Health: What Can We Learn from California’s Recent Experience?” The Quarterly Journal of Economics 120 (3): 1003–30. https://doi.org/10.1093/qje/120.3.1003.",2005,Examining the impact of pollution on infant deaths and low birth weights,California,1989-2000,,"Population data: Information on all infant deaths 1989-2000.; Variables included: Infant health measures, DOB, mother's age, race, ethnicity, education level, marital status, zip code, prenatal care info, use of public insurance.",,,Panel,PM10; O3; CO,Measurement: Zip-code level. A weighted average of the weekly pollution level from monitors within a 20-mile radius of mother's zip code.; Data: EPA Air monitoring sensors around California; daily measures of 8-hour maximum for CO and O3; 24 hour average of PM10.,"Health:; Birth weight, infant mortality rate","Weather, the age of the child, race, maternal age, child gender, and other ""unobservable characteristics that can be captured by month, year, zip code fixed effects..."" (1004).","Predictors of mortality were consistent with past studies: likelihood of child death increased with being the child of high school dropouts, teenage pregnancies, and people dependent on government insurance, and poor babies were more likely to die. (1021); Postnatal exposure to CO has a high impact on infant mortality. The study found that for every unit of CO reduction per quarter, there was a decline of 11.12 deaths per 100,000 births.; Decreases in CO levels in the 1990s saved ~1000 infant lives in CA. Estimated savings: $1.6-4.8 billion.; The findings for O3 and PM10 were far less significant.","1) Maternal smoking was not accounted for because it was not available in the infant health data. Other studies, like Currie et al. (2009), have identified smoking as impactful on infants' health and sensitivity to pollution. 2) Weather data is state-wide while pollution data is zip-code level. This makes it more difficult to measure the true impact of weather on pollution. 3) Avoidance behavior (ex. heeding smog alerts) is not taken into account. Other papers (Neidell 2004) notes that this can impact children's health.",Impact on child/infant health,Public health; economics; science,Neidell (2004),"During sample period:; -infant mortality rate fell sharply over a short time but trends in low birth weight and fetal death were more stable. This may show that declines in mortality were due to postnatal treatment not improvements in prenatal health.; -There was a significant decline in pollution observed across CA during the time of the survey.; -Because the study attempted to analyze personal levels of exposure but was limited to zip-code sized areas of measurement (rather than personal pollution exposure monitors), the results were more likely to skew towards underestimating the impact of pollutants."
