country,countrycode,year,month,cpi_sa,ind_prod_const,ind_prod_const_sa
Malaysia,MYS,1998,2,76.09022996,4526050472,4769492746
Malaysia,MYS,1998,3,76.82332675,4951316960,4914485618
Malaysia,MYS,1998,4,77.00424303,4971567745,4868502881
Malaysia,MYS,1998,5,77.12697251,4860188427,4805826012
Malaysia,MYS,1998,6,77.91151868,4688056753,4825304161
Malaysia,MYS,1998,7,77.77853961,4931066175,4809552908
Malaysia,MYS,1998,8,78.01638058,4738683716,4722158011
Malaysia,MYS,1998,9,78.16172467,4677931361,4643792740
Malaysia,MYS,1998,10,78.24086489,4910815389,4720454836
Malaysia,MYS,1998,11,78.68287995,4627304398,4710596404
Malaysia,MYS,1998,12,78.72535445,4910815389,4718824142
Malaysia,MYS,1999,1,79.1702628,4424796547,4577605079
Malaysia,MYS,1999,2,79.02000271,4677931361,4915194677
Malaysia,MYS,1999,3,79.13469413,5082947063,5002587559
Malaysia,MYS,1999,4,79.19477377,5184200988,5085847533
Malaysia,MYS,1999,5,79.450811,5163950203,5122870067
Malaysia,MYS,1999,6,79.51175119,5123448633,5287713714
Malaysia,MYS,1999,7,79.68176998,5356332662,5226599532
Malaysia,MYS,1999,8,79.72809673,5356332662,5346821916
Malaysia,MYS,1999,9,79.78857431,5649969046,5607040111
Malaysia,MYS,1999,10,79.86545198,5589216691,5368556091
Malaysia,MYS,1999,11,79.96049006,5649969046,5740166948
Malaysia,MYS,1999,12,80.70039914,5832226112,5607768414
Malaysia,MYS,2000,1,80.4619023,5558840513,5764358979
Malaysia,MYS,2000,2,80.36757654,5771473757,6048894182
Malaysia,MYS,2000,3,80.47212007,6186614851,6058623142
Malaysia,MYS,2000,4,80.4993427,6105611711,6001567174
Malaysia,MYS,2000,5,80.57748505,6267617992,6233235393
Malaysia,MYS,2000,6,80.72033037,6216991029,6434510406
Malaysia,MYS,2000,7,80.88160121,6470125843,6306386499
Malaysia,MYS,2000,8,81.02852965,6348621132,6333655985
Malaysia,MYS,2000,9,81.0786453,6561254376,6502624492
Malaysia,MYS,2000,10,81.37628859,6723260657,6460493213
