entity,code,year,emissions_total_per_capita,gdp_per_capita,population
Japan,JPN,2019,8.725205,38332.934,126699371.0
Kazakhstan,KAZ,2019,14.330919,26026.064,19209498.0
Slovakia,SVK,2019,6.206926,27429.225,5450575.0
Sierra Leone,SLE,2019,0.12984261,1707.3713,7731946.0
Chad,TCD,2019,0.13781506,1543.8029,16685179.0
Azerbaijan,AZE,2019,3.7333274,17029.906,10110446.0
Uganda,UGA,2019,0.13398354,2128.9087,42999589.0
Montserrat,MSR,2019,4.8594165,,4524.0
Greenland,GRL,2019,9.906785,,56064.0
Tuvalu,TUV,2019,1.0412049,,10557.0
Philippines,PHL,2019,1.2953051,8602.1455,110804629.0
Guatemala,GTM,2019,1.128632,7565.846,17103759.0
Kenya,KEN,2019,0.38661912,3207.2622,51202787.0
Mayotte,MYT,2019,,,274870.0
Israel,ISR,2019,6.775189,33951.89,8657420.0
Portugal,PRT,2019,4.600439,28056.057,10343168.0
Djibouti,DJI,2019,0.49899417,3436.9502,1088656.0
Burkina Faso,BFA,2019,0.2681528,1651.1173,20961910.0
Cote d'Ivoire,CIV,2019,0.37367776,3703.0876,28192957.0
Congo,COG,2019,1.2985791,4583.337,5616598.0
Dominica,DMA,2019,2.5376952,9575.093,67860.0
Comoros,COM,2019,0.3959646,1832.4357,786535.0
Mali,MLI,2019,0.27684134,1706.0105,21068368.0
Romania,ROU,2019,3.9205754,23267.516,19501499.0
Netherlands,NLD,2019,8.691241,48142.67,17537460.0
Italy,ITA,2019,5.6483135,35407.242,60130080.0
South Korea,KOR,2019,12.480777,38935.992,51767790.0
Costa Rica,CRI,2019,1.5398297,14775.292,4999502.0
Curacao,CUW,2019,11.891082,,189500.0
Grenada,GRD,2019,2.8441563,,115943.0
Belarus,BLR,2019,6.5812345,19130.395,9435364.0
Taiwan,TWN,2019,11.592632,47200.254,23674088.0
Turks and Caicos Islands,TCA,2019,8.407761,,43143.0
Bangladesh,BGD,2019,0.5748978,4242.7515,164913011.0
Jamaica,JAM,2019,3.356447,7641.0815,2823227.0
Sri Lanka,LKA,2019,0.9475737,11939.55,22410495.0
Niger,NER,2019,0.10952571,964.32434,22947717.0
Suriname,SUR,2019,4.3514423,,605727.0
Malawi,MWI,2019,0.09044499,1205.477,19025698.0
Samoa,WSM,2019,1.2926443,,209753.0
South Sudan,SSD,2019,0.17083813,,10423340.0
Syria,SYR,2019,1.3463072,3385.4192,20353478.0
Cape Verde,CPV,2019,1.2259234,7297.2793,514068.0
Puerto Rico,PRI,2019,,35041.33,3287976.0
Palestine,PSE,2019,0.65849155,5176.9795,4957731.0
Saint Martin (French part),MAF,2019,,,34243.0
Guinea,GIN,2019,0.30081806,1690.8837,13034294.0
Bolivia,BOL,2019,1.9368082,6730.809,11671329.0
Burundi,BDI,2019,0.05620691,738.9831,12255290.0
Mauritius,MUS,2019,3.515224,21624.842,1286227.0
Guinea-Bissau,GNB,2019,0.1638662,1543.4176,1967654.0
Botswana,BWA,2019,2.884646,15747.324,2332038.0
Niue,NIU,2019,4.1331077,,1773.0
Bosnia and Herzegovina,BIH,2019,6.220446,11048.235,3345480.0
El Salvador,SLV,2019,1.2138822,8849.834,6222267.0
Somalia,SOM,2019,0.039769154,,16030917.0
Western Sahara,ESH,2019,,,538401.0
Yemen,YEM,2019,0.33713272,2265.343,35111377.0
Sweden,SWE,2019,3.9724972,45434.402,10279068.0
East Timor,TLS,2019,0.51920164,,1300903.0
North Korea,PRK,2019,2.6688468,1666.8143,26037582.0
Uruguay,URY,2019,1.8866792,19714.148,3397150.0
Switzerland,CHE,2019,4.2810693,62448.598,8577482.0
Macao,MAC,2019,1.8076055,,670934.0
Morocco,MAR,2019,1.898318,8540.804,36210859.0
Bonaire Sint Eustatius and Saba,BES,2019,4.2929115,,25605.0
Canada,CAN,2019,15.404461,45284.215,37782884.0
Ethiopia,ETH,2019,0.14892082,2030.6775,115737338.0
Monaco,MCO,2019,,,38083.0
Guam,GUM,2019,,,161783.0
Solomon Islands,SLB,2019,0.4025793,,728105.0
Guyana,GUY,2019,3.412209,,807624.0
Antigua and Barbuda,ATG,2019,7.020848,,91328.0
Tanzania,TZA,2019,0.27675864,2894.6472,59174848.0
