id,year,status
1,2023,Employed
2,2023,Unemployed
3,2023,Employed
4,2023,Unemployed
5,2023,Employed
6,2023,Employed
7,2023,Employed
8,2023,Unemployed
9,2023,Unemployed
10,2023,Not in labor force
11,2023,Not in labor force
12,2023,Employed
13,2023,Not in labor force
14,2023,Employed
15,2023,Not in labor force
16,2023,Unemployed
17,2023,Not in labor force
18,2023,Not in labor force
19,2023,Not in labor force
20,2023,Employed
21,2023,Employed
22,2023,Unemployed
23,2023,Not in labor force
24,2023,Not in labor force
25,2023,Employed
26,2023,Unemployed
27,2023,Employed
28,2023,Unemployed
29,2023,Not in labor force
30,2023,Employed
31,2023,Not in labor force
32,2023,Employed
33,2023,Not in labor force
34,2023,Employed
35,2023,Employed
36,2023,Employed
37,2023,Not in labor force
38,2023,Employed
39,2023,Employed
40,2023,Employed
41,2023,Not in labor force
42,2023,Employed
43,2023,Employed
44,2023,Employed
45,2023,Employed
46,2023,Employed
47,2023,Not in labor force
48,2023,Employed
49,2023,Not in labor force
50,2023,Unemployed
51,2023,Employed
52,2023,Employed
53,2023,Not in labor force
54,2023,Employed
55,2023,Not in labor force
56,2023,Employed
57,2023,Unemployed
58,2023,Not in labor force
59,2023,Employed
60,2023,Not in labor force
61,2023,Unemployed
62,2023,Employed
63,2023,Employed
64,2023,Unemployed
65,2023,Employed
66,2023,Employed
67,2023,Employed
68,2023,Not in labor force
69,2023,Employed
70,2023,Employed
71,2023,Not in labor force
72,2023,Employed
73,2023,Employed
74,2023,Employed
75,2023,Employed
76,2023,Employed
77,2023,Not in labor force
78,2023,Not in labor force
79,2023,Not in labor force
80,2023,Employed
81,2023,Employed
82,2023,Unemployed
83,2023,Employed
84,2023,Employed
85,2023,Not in labor force
86,2023,Employed
87,2023,Unemployed
88,2023,Not in labor force
89,2023,Employed
90,2023,Unemployed
91,2023,Employed
92,2023,Employed
93,2023,Not in labor force
94,2023,Not in labor force
95,2023,Unemployed
96,2023,Unemployed
97,2023,Unemployed
98,2023,Unemployed
99,2023,Not in labor force
100,2023,Not in labor force
101,2023,Not in labor force
102,2023,Not in labor force
103,2023,Not in labor force
104,2023,Employed
105,2023,Not in labor force
106,2023,Employed
107,2023,Employed
108,2023,Employed
109,2023,Employed
110,2023,Not in labor force
111,2023,Employed
112,2023,Not in labor force
113,2023,Not in labor force
114,2023,Employed
115,2023,Employed
116,2023,Employed
117,2023,Employed
118,2023,Employed
119,2023,Employed
120,2023,Not in labor force
121,2023,Unemployed
122,2023,Not in labor force
123,2023,Employed
124,2023,Employed
125,2023,Employed
126,2023,Unemployed
127,2023,Unemployed
128,2023,Not in labor force
129,2023,Unemployed
130,2023,Unemployed
131,2023,Employed
132,2023,Employed
133,2023,Employed
134,2023,Not in labor force
135,2023,Not in labor force
136,2023,Not in labor force
137,2023,Not in labor force
138,2023,Not in labor force
139,2023,Employed
140,2023,Not in labor force
141,2023,Employed
142,2023,Unemployed
143,2023,Employed
144,2023,Employed
145,2023,Not in labor force
146,2023,Unemployed
147,2023,Not in labor force
148,2023,Not in labor force
149,2023,Unemployed
150,2023,Employed
151,2023,Not in labor force
152,2023,Employed
153,2023,Employed
154,2023,Not in labor force
155,2023,Not in labor force
156,2023,Employed
157,2023,Unemployed
158,2023,Employed
159,2023,Unemployed
160,2023,Not in labor force
161,2023,Not in labor force
162,2023,Not in labor force
163,2023,Employed
164,2023,Unemployed
165,2023,Unemployed
166,2023,Not in labor force
167,2023,Employed
168,2023,Employed
169,2023,Not in labor force
170,2023,Employed
171,2023,Not in labor force
172,2023,Employed
173,2023,Not in labor force
174,2023,Not in labor force
175,2023,Not in labor force
176,2023,Unemployed
177,2023,Employed
178,2023,Employed
179,2023,Not in labor force
180,2023,Unemployed
181,2023,Not in labor force
182,2023,Not in labor force
183,2023,Not in labor force
184,2023,Not in labor force
185,2023,Employed
186,2023,Employed
187,2023,Employed
188,2023,Employed
189,2023,Employed
190,2023,Employed
191,2023,Not in labor force
192,2023,Not in labor force
193,2023,Unemployed
194,2023,Employed
195,2023,Employed
196,2023,Employed
197,2023,Employed
198,2023,Not in labor force
199,2023,Not in labor force
200,2023,Not in labor force
201,2023,Unemployed
202,2023,Unemployed
203,2023,Employed
204,2023,Employed
205,2023,Unemployed
206,2023,Employed
207,2023,Not in labor force
208,2023,Employed
209,2023,Not in labor force
210,2023,Employed
211,2023,Employed
212,2023,Employed
213,2023,Employed
214,2023,Employed
215,2023,Employed
216,2023,Employed
217,2023,Not in labor force
218,2023,Not in labor force
219,2023,Not in labor force
220,2023,Unemployed
221,2023,Not in labor force
222,2023,Not in labor force
223,2023,Employed
224,2023,Not in labor force
225,2023,Unemployed
226,2023,Employed
227,2023,Unemployed
228,2023,Employed
229,2023,Employed
230,2023,Not in labor force
231,2023,Employed
232,2023,Not in labor force
233,2023,Employed
234,2023,Unemployed
235,2023,Employed
236,2023,Employed
237,2023,Employed
238,2023,Not in labor force
239,2023,Not in labor force
240,2023,Not in labor force
241,2023,Not in labor force
242,2023,Not in labor force
243,2023,Unemployed
244,2023,Employed
