student_id,gender,math,read,science,book,escs
3600001,male,447.5,349.7,560.0,201-500,1.0
3600002,female,581.6,646.2,531.4,101-200,1.4
3600004,male,350.0,203.7,374.6,0-10,0.8
3600008,female,363.5,346.5,349.5,101-200,-1.0
3600009,female,593.2,543.5,589.3,11-25,0.3
3600010,female,511.2,610.5,595.0,101-200,-0.1
3600011,female,516.1,545.0,552.3,101-200,0.8
3600012,female,446.9,473.2,474.6,201-500,0.8
3600015,male,354.1,429.1,369.5,11-25,-0.3
3600016,female,485.6,483.2,508.3,26-100,0.2
3600018,male,601.5,665.2,578.1,101-200,1.2
3600022,female,664.9,619.6,595.1,101-200,1.3
3600024,female,408.8,554.3,415.9,11-25,-2.7
3600026,female,589.9,671.5,579.8,201-500,1.5
3600027,female,515.7,565.1,508.7,201-500,0.9
3600028,female,553.1,567.4,562.4,201-500,1.3
3600029,male,308.1,459.3,340.6,201-500,0.1
3600030,male,477.6,525.0,547.1,0-10,0.8
3600033,male,450.7,456.5,431.1,11-25,0.2
3600034,female,416.8,340.2,448.6,11-25,-0.4
3600035,male,388.1,349.4,468.5,26-100,0.7
3600037,male,303.4,202.6,242.5,201-500,1.3
3600040,female,430.7,486.9,415.7,26-100,1.3
3600041,female,474.6,474.9,434.6,201-500,1.2
3600042,male,484.0,404.3,501.3,11-25,0.5
3600044,male,540.7,625.7,491.3,101-200,1.0
3600045,female,553.0,566.0,713.2,101-200,1.3
3600046,female,491.5,481.1,496.9,101-200,0.5
3600048,male,607.6,744.9,577.0,101-200,-0.1
3600049,male,400.2,419.0,471.7,more than 500,1.2
3600051,female,419.0,404.2,420.6,26-100,-0.1
3600052,male,481.4,461.9,567.1,201-500,0.9
3600053,female,490.9,488.1,447.3,101-200,1.0
3600054,male,563.1,582.7,629.6,more than 500,1.6
3600055,male,585.1,564.4,624.8,201-500,0.8
3600056,male,383.9,506.4,472.0,0-10,-1.5
3600057,male,413.6,465.0,453.1,0-10,-0.8
3600059,male,346.8,292.2,338.7,26-100,0.1
3600060,female,399.0,420.9,409.6,11-25,-2.8
3600062,male,564.2,645.1,478.0,201-500,1.1
3600064,female,453.1,405.8,413.7,more than 500,-0.6
3600065,female,535.7,630.2,656.7,201-500,-0.1
3600066,male,616.4,582.9,562.9,26-100,0.7
3600067,male,524.7,524.8,561.3,201-500,1.3
3600068,male,316.9,379.7,293.3,101-200,-0.4
3600069,female,438.9,525.7,428.9,11-25,-0.8
3600070,male,604.7,625.9,515.8,101-200,1.3
3600071,female,398.9,562.0,485.7,26-100,0.7
3600073,female,342.5,395.8,387.1,11-25,0.6
3600074,female,441.5,454.1,499.7,101-200,-0.8
3600075,female,435.4,441.6,497.1,201-500,0.4
3600078,female,474.1,608.5,554.9,201-500,0.9
3600080,male,417.4,292.4,430.7,0-10,-0.6
3600081,female,444.2,571.4,527.8,26-100,-1.0
3600082,female,592.0,569.2,532.7,26-100,0.6
3600085,male,451.6,473.4,401.1,0-10,-0.8
3600086,male,541.1,457.0,563.4,101-200,1.2
3600091,male,504.4,550.0,695.7,more than 500,0.9
3600093,female,391.7,437.9,347.3,101-200,0.2
3600094,male,356.5,357.4,413.7,11-25,-1.2
3600095,male,326.7,371.1,365.0,11-25,-1.2
3600096,female,401.5,402.0,450.5,101-200,0.1
3600097,female,491.7,419.5,392.0,201-500,0.7
3600100,male,362.9,358.0,352.7,11-25,0.3
3600101,female,456.9,511.3,458.8,101-200,0.8
3600102,male,469.2,473.0,476.6,0-10,0.7
3600103,female,555.2,732.6,674.4,more than 500,0.8
3600109,female,557.5,650.1,625.8,more than 500,1.0
3600110,female,421.5,509.3,464.1,201-500,0.6
3600112,female,479.9,446.6,504.1,201-500,0.4
3600114,female,540.3,550.7,618.0,101-200,-0.3
3600115,female,616.3,623.6,712.3,201-500,1.3
3600117,female,403.6,437.3,422.4,11-25,0.3
3600119,male,558.1,536.1,678.2,201-500,0.7
3600120,female,541.6,619.1,560.7,201-500,1.1
3600121,male,527.6,328.7,362.6,11-25,-2.5
3600123,male,522.7,518.6,493.2,26-100,0.1
3600124,male,621.1,521.8,626.1,more than 500,1.7
3600126,female,388.1,358.7,387.2,101-200,-0.3
3600127,female,286.8,276.0,312.1,11-25,0.2
3600128,male,631.0,605.4,705.9,more than 500,1.1
3600130,female,560.0,570.5,647.9,more than 500,1.3
3600132,male,680.9,662.6,690.9,more than 500,1.0
3600133,male,564.8,557.3,512.3,201-500,-0.2
3600134,male,367.6,371.0,365.5,201-500,0.9
3600135,female,521.5,518.6,554.3,201-500,0.4
3600136,male,588.9,520.1,572.2,201-500,0.3
3600138,male,414.3,335.8,397.6,26-100,0.6
3600141,male,565.8,599.3,729.7,0-10,1.2
3600142,male,647.0,661.2,778.4,201-500,1.4
3600143,female,624.2,676.3,628.5,201-500,1.3
3600147,female,460.9,503.0,528.6,26-100,-1.0
3600149,female,666.9,780.1,601.6,201-500,1.7
3600150,male,603.3,520.1,639.8,101-200,1.1
3600153,male,495.5,474.8,532.9,101-200,0.4
3600154,male,565.3,568.1,651.9,101-200,0.5
3600156,male,466.1,580.7,458.9,201-500,-0.7
3600158,female,311.3,320.8,353.0,more than 500,0.9
3600159,male,723.4,643.9,739.4,101-200,1.2
3600160,female,524.8,565.9,511.9,more than 500,1.6
3600163,female,437.0,507.5,445.2,101-200,0.8
3600165,female,582.9,590.4,508.7,101-200,-0.0
3600167,male,507.5,503.5,583.5,201-500,1.1
3600171,female,606.0,683.7,706.7,201-500,0.2
3600173,female,484.9,598.6,505.7,26-100,1.0
3600174,female,464.0,551.2,424.8,101-200,0.9
3600175,female,417.4,325.8,481.3,201-500,0.7
3600176,female,380.9,475.3,424.0,101-200,-0.9
3600177,female,460.7,503.9,496.4,101-200,0.9
3600178,male,381.3,310.7,358.1,26-100,-1.1
3600179,female,440.9,491.9,373.6,101-200,0.2
3600180,female,444.0,440.4,492.1,101-200,1.3
3600184,female,382.6,445.3,437.4,26-100,-0.2
3600189,female,658.1,785.0,604.5,101-200,0.2
3600190,male,554.9,432.5,592.4,26-100,0.0
3600191,male,526.7,475.2,571.0,26-100,-0.6
3600192,female,521.4,537.3,453.6,more than 500,0.8
3600195,female,411.3,460.2,479.5,26-100,0.7
3600196,female,431.1,496.2,422.8,101-200,0.3
3600197,female,507.9,540.5,512.3,more than 500,0.6
3600201,female,614.0,648.1,575.0,101-200,1.3
3600207,female,308.5,319.7,302.4,0-10,-0.5
3600209,female,508.8,533.1,585.8,101-200,1.5
3600211,male,516.1,449.5,479.6,11-25,-0.1
3600214,male,484.6,515.9,487.2,26-100,1.2
3600217,male,716.8,800.3,629.0,more than 500,1.1
3600220,male,378.0,406.1,347.4,26-100,0.3
3600221,male,637.0,524.1,682.1,more than 500,1.2
3600225,female,771.3,772.4,770.2,more than 500,1.7
3600226,female,374.3,391.0,451.2,101-200,-0.2
3600227,female,490.1,512.5,507.7,101-200,-0.5
3600229,male,527.1,513.6,468.6,101-200,0.2
3600231,male,501.3,443.1,568.7,more than 500,1.7
3600233,female,425.8,499.9,395.0,201-500,-0.9
3600235,female,520.3,572.8,532.4,201-500,0.9
3600237,male,534.6,518.0,516.6,201-500,1.0
3600239,female,599.5,672.6,642.5,more than 500,1.1
3600241,female,507.7,497.8,589.0,101-200,1.0
3600242,female,382.8,420.4,416.4,201-500,-0.4
3600243,male,363.4,320.0,404.3,more than 500,1.1
3600246,female,443.9,441.0,487.3,11-25,-0.4
3600247,female,598.9,574.0,596.4,101-200,-0.1
3600249,male,639.6,691.8,732.5,11-25,0.6
3600250,female,462.9,595.6,534.0,201-500,0.6
3600251,female,408.0,516.3,491.5,101-200,0.8
3600253,female,392.2,352.7,316.7,201-500,0.5
3600254,female,554.2,590.1,539.6,101-200,0.6
3600255,female,404.3,410.8,391.6,26-100,0.0
3600256,male,472.4,548.1,545.1,101-200,0.2
3600257,female,584.4,617.0,646.4,101-200,0.9
3600259,female,413.3,377.4,461.5,11-25,-0.7
3600260,female,366.3,447.3,444.4,101-200,-0.5
3600264,female,462.4,485.5,495.6,201-500,1.2
3600265,female,462.1,481.3,438.4,26-100,0.5
3600267,female,318.1,259.8,331.8,201-500,-1.5
3600269,male,353.5,373.7,278.2,11-25,-2.0
3600270,female,476.8,445.9,500.6,26-100,0.8
3600271,female,488.2,559.0,544.0,more than 500,-0.3
3600274,male,340.5,299.6,374.7,26-100,-0.7
3600275,female,503.7,486.9,520.2,201-500,1.2
3600277,female,445.5,419.7,510.9,more than 500,0.6
3600280,male,459.5,396.9,392.9,26-100,0.5
3600281,female,625.2,728.2,642.2,26-100,-2.6
3600282,female,552.7,670.3,470.5,101-200,0.8
3600283,male,510.8,443.3,567.4,101-200,1.2
3600284,male,460.5,460.4,454.4,26-100,-0.6
3600285,male,635.6,639.2,719.3,101-200,0.2
3600286,male,422.5,427.4,462.9,101-200,-0.3
3600287,male,450.0,536.3,447.8,201-500,1.8
3600288,male,371.7,385.1,359.0,0-10,-1.4
3600291,male,633.5,594.4,703.6,101-200,0.6
3600293,female,545.7,689.8,599.1,101-200,-0.2
3600294,male,513.6,458.5,570.2,0-10,0.4
3600298,male,267.3,381.6,426.8,101-200,-0.8
3600301,female,490.4,515.7,509.9,26-100,0.8
3600302,male,337.8,430.6,338.6,0-10,-0.7
3600303,female,506.8,539.2,543.3,101-200,1.4
3600305,male,671.9,651.9,719.1,201-500,-0.8
3600308,male,565.4,577.7,547.5,26-100,-0.5
3600312,male,621.0,595.7,611.0,201-500,1.6
3600313,female,418.3,471.7,486.6,101-200,-0.3
3600315,male,489.7,505.5,585.3,101-200,1.1
3600316,male,596.0,543.2,753.7,201-500,0.5
3600317,male,416.7,392.7,346.7,101-200,-0.5
3600318,male,410.1,441.8,466.4,0-10,-0.7
3600320,female,504.1,468.7,448.7,201-500,1.4
3600322,female,523.8,537.5,598.5,201-500,1.5
3600323,male,424.9,398.1,484.9,101-200,-0.1
3600325,female,522.5,449.4,531.0,26-100,0.8
3600326,female,684.2,713.2,628.2,26-100,-0.6
3600328,male,489.3,450.2,511.4,101-200,0.2
3600329,male,522.4,529.7,596.1,101-200,-0.4
3600331,male,556.7,487.5,560.4,more than 500,1.2
3600335,female,413.0,476.4,469.8,0-10,0.6
3600337,female,517.1,663.9,521.3,26-100,-0.1
3600338,female,628.5,577.6,639.0,more than 500,1.1
3600339,male,412.5,372.9,366.7,0-10,0.5
3600340,male,480.6,512.0,505.4,more than 500,-0.2
3600341,male,361.0,458.8,333.8,0-10,-2.3
3600343,male,532.0,534.8,555.3,101-200,0.4
3600344,male,430.1,551.9,422.9,more than 500,-1.0
3600345,male,625.3,548.8,588.2,more than 500,1.1
3600347,female,348.2,393.7,423.8,11-25,-2.1
3600348,female,506.8,480.0,468.2,101-200,1.3
3600349,male,472.1,549.6,460.0,201-500,0.3
3600350,male,394.1,375.1,371.9,26-100,-0.3
3600353,female,502.4,646.1,602.6,201-500,1.0
3600354,male,622.9,561.5,579.8,26-100,-0.7
3600355,female,417.8,422.7,489.9,more than 500,-0.2
3600356,female,465.2,333.3,319.6,26-100,-0.5
3600357,female,502.3,469.0,553.7,101-200,0.7
3600358,female,466.1,508.5,489.0,11-25,-2.2
3600359,male,502.1,443.3,500.8,0-10,-1.7
3600360,female,424.2,446.0,483.9,101-200,1.1
3600361,male,515.0,535.2,581.3,101-200,0.5
3600362,female,336.0,343.3,451.6,11-25,-0.0
3600363,female,488.0,524.5,634.8,101-200,-0.3
3600365,male,499.0,391.3,490.4,101-200,0.9
3600367,male,556.0,556.5,593.2,101-200,0.7
3600369,female,328.6,359.5,385.8,0-10,-0.8
3600370,male,414.3,436.7,441.3,101-200,0.0
3600371,female,502.6,464.7,556.4,201-500,1.3
3600373,male,501.4,467.0,444.8,11-25,-0.7
3600375,female,378.7,404.4,474.4,101-200,-0.9
3600376,male,559.5,572.2,580.7,more than 500,1.7
3600377,male,591.5,577.8,635.2,101-200,1.1
3600378,female,437.9,443.7,504.1,201-500,0.2
3600380,male,348.7,368.4,274.8,0-10,0.5
3600381,female,425.4,519.0,391.1,11-25,0.0
3600382,female,345.8,413.4,417.2,101-200,0.3
3600383,male,493.6,579.2,457.1,101-200,-0.3
3600384,male,682.1,583.2,650.8,more than 500,1.0
3600386,female,503.4,573.0,526.1,201-500,-0.5
3600387,male,518.2,531.8,509.1,101-200,1.3
3600390,male,656.1,662.5,662.2,more than 500,1.0
3600392,male,628.1,653.2,574.5,101-200,0.6
3600397,female,463.2,541.1,521.7,more than 500,0.8
3600398,female,418.4,425.9,458.6,26-100,-1.4
3600402,female,337.5,319.9,215.6,101-200,0.8
3600403,male,545.8,523.2,502.9,26-100,1.0
3600405,female,468.4,542.9,472.3,201-500,0.3
3600407,female,709.8,871.0,875.2,more than 500,1.3
3600408,female,471.1,584.0,524.1,101-200,0.3
3600409,male,435.3,443.6,407.9,11-25,1.2
