year,student_id,gender,math,read,science,escs
2012,35,female,423.9835,529.1733,443.342,-0.16
2012,1035,female,451.0905,476.1929,475.3264,0.92
2012,1385,male,370.2368,372.3248,378.3476,0.28
2012,1451,female,366.7316,434.6504,439.3323,0.51
2012,1916,male,456.6989,425.8146,492.3909,-0.73
2012,2641,male,465.5009,484.2764,562.141,-1.24
2012,2773,male,404.1206,390.529,416.0201,0.4
2012,2978,female,521.3507,501.3725,522.6035,0.39
2012,3098,female,411.7542,462.3719,385.9008,-1.47
2012,3104,female,476.0944,524.4075,452.0142,-0.11
2012,3488,female,487.3111,568.0151,481.0145,0.2
2012,3548,male,756.5898,716.3593,778.3849,0.81
2012,4020,male,557.3376,611.3045,561.1153,-0.16
2012,4299,female,503.2793,574.6873,566.7102,0.87
2012,4645,male,492.3742,541.5353,546.1954,1.26
2012,5698,male,701.441,616.1161,712.1783,1.05
2012,6045,male,532.9568,499.5133,561.768,0.88
2012,6554,male,464.7219,470.6433,494.0694,2.06
2012,6649,male,582.0299,566.155,590.0224,-0.88
2012,7230,male,268.9749,275.2895,302.8161,-0.99
2012,7340,male,374.1315,408.1718,427.1167,-1.46
2012,7420,female,484.7406,510.1099,553.9351,-0.06
2012,7553,female,417.752,451.5692,388.605,0.17
2012,7802,male,569.489,573.6131,579.765,0.98
2012,8052,male,661.2479,616.5973,629.1869,0.8
2012,8119,male,731.6638,701.9243,775.5875,1.31
2012,8297,female,537.3189,558.5628,523.2562,0.45
2012,8590,female,453.661,566.2676,510.0149,0.83
2012,9303,male,325.2921,266.9493,363.5211,-0.68
2012,9658,male,451.6358,435.4379,378.7206,0.44
2012,9863,female,420.9456,390.7251,465.2555,-0.33
2012,9954,male,585.1457,624.697,612.4021,0.81
2012,10116,female,381.7651,509.5539,477.1913,-0.57
2012,10516,female,411.4426,370.3113,413.5957,
2012,10858,male,532.1779,516.4344,532.0216,0.73
2012,10861,male,448.1305,485.1585,460.1268,0.4
2012,11480,female,439.7959,463.9605,377.5084,-0.76
2012,11548,male,386.7503,425.2532,424.0395,0.94
