LGA,total_net_exp,adult_pop,egm_per_1000,exp_per_adult,unemployed,ue_rate,SEIFA_dis_score
City of Whittlesea,139026831.82000002,189810.877672327,3.6299289505917023,732.4492332836891,6849,0.0503884523704423,989.6036133
Shire of Nillumbik,9368870.02,49430.46054385936,1.8207396615320528,189.53636921280668,705,0.0178228334513095,1092.873619
Rural City of Ararat,6256569.22,9808.851749039755,8.971488432233143,637.8492998033629,258,0.0439597887203953,955.2148339
Shire of Northern Grampians,4590890.100000001,9799.712937256012,8.163504432447239,468.4718960028519,253,0.0397486252945797,951.3008393
Borough of Queenscliffe,1176843.4300000002,2884.879446101236,10.399048057465082,407.93504615606815,20,0.0128369704749679,1082.243248
City of Greater Geelong,134811043.09,229523.24338904463,5.8556161029926885,587.3524663534563,6503,0.041341648707239,1007.331026
Shire of Corangamite,3785427.4899999993,12836.10625978657,4.440598951612898,294.90465514913404,136,0.0156142365097588,984.5903646
Shire of Colac-Otway,7723366.709999999,18133.30260063746,6.066186751669442,425.92168013169817,227,0.0188116350377061,972.58665
Shire of Hepburn,3491644.65,14158.207654709591,4.025933323632212,246.6162903634584,247,0.0298959089808763,1006.251286
Shire of Moorabool,10391902.96,31104.797304095384,3.5364319826484434,334.0932544393002,712,0.0318539727988546,1017.233908
Shire of Central Goldfields,8278358.689999999,11304.66798469416,8.757444281781654,732.2956057805854,491,0.0900752155567785,897.5571127
Shire of Mount Alexander,3171764.14,17271.396181992848,1.7369759620984198,183.6426022875256,224,0.0231956094025059,1007.453034
Shire of Mansfield,1652829.2500000002,8490.667846131611,4.711054621954643,194.66422193785817,92,0.016693884957358,1027.619655
Shire of Murrindindi,1612711.97,12958.67680052883,1.9292093154896628,124.45035822902744,292,0.0352699601401135,1004.689869
Shire of Mitchell,22222664.660000004,44395.67507994485,5.045536521218234,500.5592238429278,1280,0.0437053982995868,999.547638
Shire of Towong,436036.15,5088.390870016667,1.965257830117765,85.69234580019042,80,0.023788284269997,1000.769071
Shire of Alpine,2877179.41,10930.962105969846,5.306028823238151,263.2137392946093,130,0.0176846687525506,1027.612702
Shire of Moira,6137825.65,24985.8219437286,4.122337869531358,245.6523409085041,223,0.013251723318279,958.2606536
Shire of Strathbogie,2332739.66,9855.440423717686,3.246937592255152,236.6956279687032,178,0.0301388418557399,981.9917555
Rural City of Benalla,6307206.379999999,12121.883373608813,8.662020311843703,520.3157121385732,307,0.041928434853865,968.4478935
Shire of Gannawarra,2309731.08,8558.710723781845,5.257801256789739,269.86904389489604,173,0.0327713582117825,952.4122494
Shire of Campaspe,11094363.63,31136.53969672748,7.001420264529661,356.3133134914809,295,0.0131268633471276,964.8686286
