id,name,price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews
1040823834837019844,Cronulla Beach House,$307.33,6,4.0,Entire home/apt,5.0,Sutherland Shire,2
44171766,A slice of Bali - entire private home,$211.50,2,1.0,Entire home/apt,4.71,Lane Cove,42
1511432392664492398,Brand New Cozy Haven on De Clambe Drive/2BR FreeP,$926.50,6,2.0,Entire home/apt,5.0,The Hills Shire,4
1242975171961286786,Peaceful 2 bedroom with private backyard and BBQ,,5,2.0,Entire home/apt,4.57,Waverley,7
1383707642297203150,Coogee coastal comfort | Relaxed coastal living,$331.70,2,1.0,Entire home/apt,4.5,Randwick,12
1201919821877546972,Studio 60 seconds to the sand,$319.67,2,1.0,Entire home/apt,4.78,Waverley,18
731529,Goldilocks Small Double Room,$92.67,2,,Private room,4.92,Warringah,78
1650436102714709943,The Heart of Dee Why,$110.50,2,1.0,Private room,5.0,Warringah,1
1704684364883531206,Budget C,$54.00,2,1.0,Private room,,Auburn,0
38609964,"Candy skies, water views - Art Deco Apartment!",$60.27,2,2.0,Private room,4.5,Sutherland Shire,2
1446901487871936415,Sunny Manly Escape | 2 min walk to beach,$395.05,5,2.0,Entire home/apt,4.92,Manly,26
1008447954162917551,"Yarrawee House, Bronte Beach by Cobbold & Co","$4,250.29",8,4.0,Entire home/apt,,Waverley,0
1707155952523390193,Central Bondi Garden Unit,$151.50,4,1.0,Entire home/apt,,Waverley,0
1286802098140451155,Burwood park rd single private room 2,$140.00,1,1.0,Private room,4.63,Burwood,8
1558502219565758040,Peaceful Surrey Hills apartment with roof terrace,$227.60,4,1.0,Entire home/apt,5.0,Sydney,2
1620675876561711552,Warm Marrickville 2BR | 5 Min Walk to Train,$417.00,6,2.0,Entire home/apt,4.86,Marrickville,7
18276926,The View by Palm Beach Holiday Rentals,"$2,029.67",10,5.0,Entire home/apt,,Pittwater,0
26383149,Large lovely house room in heart of Bondi Beach,,2,,Private room,4.67,Waverley,12
5435721,"1. ""Lavender Blue"" Ensuite With Access to Balcony",$117.00,2,,Private room,4.64,City Of Kogarah,180
1388790163928203693,Kutti Beach House,"$4,304.57",9,5.0,Entire home/apt,,Woollahra,0
43230898,Luxury City Apartment,,2,1.0,Entire home/apt,4.92,Sydney,184
50109056,Substantial family home with harbour views,,8,5.0,Entire home/apt,4.67,Manly,9
1637248892571054997,Spacious one bedroom apartment 150m to North Bondi,$213.63,2,1.0,Entire home/apt,5.0,Waverley,3
1603514795489175000,Stylish 1 Bedroom in Sydney CBD with Rooftop Pool!,$409.33,4,1.0,Entire home/apt,5.0,Sydney,5
29841395,Room 9 Peaceful Tranquillity Accommodation,$149.00,2,,Private room,4.66,Bankstown,62
1167653488008270583,Glebe Tranquil Retreat | 2BR & Parking,$313.00,4,2.0,Entire home/apt,4.53,Sydney,19
4709805,Relaxed Beachfront Living,$60.40,2,1.0,Entire home/apt,5.0,Warringah,6
1285403537470910437,Nice shared-room for females only,$40.89,3,1.0,Shared room,5.0,Willoughby,2
736817956970073380,Pristine 2-Bed Near Marrickville Village,$278.23,4,2.0,Entire home/apt,4.8,Marrickville,54
637107564406636145,Stylish & Fully Furnished One- Bedroom,$408.00,3,1.0,Entire home/apt,4.57,Canterbury,7
1242584592988319241,180 Degrees View of Olympic Park in Superb Locale,$376.59,5,3.0,Entire home/apt,5.0,Auburn,5
1536791431770794897,Master room/Ensuite/ Near Train Station/Airport,,3,1.0,Private room,4.8,Bankstown,25
1576438172903537691,Your Calm Corner in Lane Cove North,$458.00,5,2.0,Entire home/apt,3.67,Lane Cove,6
1282280747145826289,Quaint Double Room - Private Spot,$115.00,1,,Private room,4.33,Bankstown,9
1239386220244730002,Luxury 2 Level Private Room,$183.00,2,,Private room,4.67,Randwick,9
1701243521310123964,Light & Simple Single Room - Peakhurst Area,$80.50,1,1.0,Private room,,Hurstville,0
1278606444149256554,Broadway,$171.18,4,1.0,Entire home/apt,4.9,Sydney,80
53761564,Charming 2 bedroom apartment with Bridge views,,4,2.0,Entire home/apt,5.0,North Sydney,10
42696341,Beautiful and Cozy studio for Couplewho are travel,$86.29,2,,Entire home/apt,,Strathfield,0
745148978342564883,La CASA BONDI II,$342.36,4,2.0,Entire home/apt,5.0,Waverley,8
1306724511333625743,Rose Bay Haven,$80.96,2,1.0,Entire home/apt,4.5,Woollahra,2
15092541,Vintage Inspired Decor | Peaceful Studio Apartment,$231.50,2,,Entire home/apt,4.86,Sydney,459
1345187938410196129,Trendy Studio Apartment in Prime,$176.71,2,1.0,Private room,5.0,Parramatta,3
776934403044045692,Beach View Curl Curl - House with Pool & Views,"$1,704.54",12,4.0,Entire home/apt,4.87,Warringah,23
41538473,Second bedroom close to Macquarie University,$20.52,1,,Private room,,Ryde,0
