price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews,latitude,longitude
240.0,4,1.0,Entire home/apt,4.65,Mosman,482,-33.81748,151.23484
456.5,2,1.0,Entire home/apt,4.94,Sydney,150,-33.88706,151.21403
496.5,2,1.0,Entire home/apt,4.84,Pittwater,563,-33.63822,151.30944
337.79,5,3.0,Entire home/apt,4.84,Warringah,39,-33.75415,151.26811
599.5,4,2.0,Entire home/apt,4.74,Waverley,43,-33.885284423828125,151.28309631347656
593.67,4,2.0,Entire home/apt,4.94,Leichhardt,81,-33.885799407958984,151.17166137695312
456.5,5,2.0,Entire home/apt,4.77,Manly,30,-33.79571,151.28174
166.96,2,2.0,Entire home/apt,4.89,Waverley,19,-33.88612,151.26979
103.6,4,2.0,Entire home/apt,4.94,Randwick,17,-33.9406,151.23635
810.5,4,2.0,Entire home/apt,4.84,Waverley,173,-33.88662,151.26954
200.0,2,1.0,Entire home/apt,4.85,Sydney,622,-33.89681,151.18734
770.5,7,3.0,Entire home/apt,4.96,Pittwater,119,-33.63125,151.33583
60.91,3,1.0,Entire home/apt,4.46,Waverley,27,-33.89916,151.24948
411.0,2,1.0,Entire home/apt,4.97,Pittwater,64,-33.63134,151.33437
257.0,3,2.0,Private room,4.74,Hornsby,77,-33.53805,151.24077
571.0,4,2.0,Entire home/apt,4.86,Sydney,70,-33.87245,151.21646
399.6,4,2.0,Entire home/apt,4.91,Sydney,12,-33.8784,151.18658
492.33,2,1.0,Entire home/apt,4.93,Sydney,40,-33.87828,151.21869
322.42,5,3.0,Entire home/apt,5.0,Leichhardt,6,-33.85628,151.17935
699.93,6,3.0,Entire home/apt,4.92,Manly,12,-33.79453,151.27
329.35,4,1.0,Entire home/apt,4.96,Pittwater,79,-33.63594,151.3056
389.22,10,4.0,Entire home/apt,4.64,Penrith,42,-33.72748,150.69909
294.5,2,2.0,Entire home/apt,4.92,North Sydney,71,-33.83432,151.19104
253.0,2,1.0,Entire home/apt,4.87,Manly,118,-33.79629,151.28632
269.43,8,4.0,Entire home/apt,5.0,Mosman,2,-33.81847,151.23586
204.27,5,2.0,Entire home/apt,4.92,Randwick,262,-33.96818,151.2519
345.33,2,1.0,Entire home/apt,4.85,Manly,169,-33.79653,151.28651
