id,village,income
1,1,194306
2,1,231056
3,1,185605
4,1,228884
5,1,222208
6,1,232485
7,1,212499
8,1,259513
9,1,224081
10,1,216410
11,1,250856
12,1,221007
13,1,200934
14,1,213411
15,1,224845
16,1,205052
17,1,235309
18,1,186033
19,1,235527
20,1,218940
21,1,243716
22,1,179297
23,1,184404
24,1,219831
25,1,218417
26,1,244552
27,1,190576
28,2,222883
29,2,214577
30,2,211239
31,2,220721
32,2,158355
33,2,220522
34,2,205630
35,2,246429
36,2,213196
37,2,211043
38,2,195078
39,2,215355
40,2,171873
41,3,209681
42,3,179489
43,3,188059
44,3,182798
45,3,227840
46,3,168880
47,3,176158
48,3,181832
49,3,214692
50,3,206940
51,3,183717
52,3,205730
53,3,203572
54,3,180269
55,3,207122
56,3,214900
57,3,244637
58,3,204890
59,3,189185
60,3,183662
61,3,242758
62,3,192209
63,3,196821
64,3,210413
65,3,214044
66,3,179308
67,3,182784
68,3,206741
69,3,229861
70,3,173119
71,3,170901
72,3,205794
73,3,213658
74,3,219440
75,3,201027
76,3,212690
77,3,167664
78,3,178036
79,3,235049
80,3,164516
81,3,216171
82,3,181235
83,3,214256
84,3,190562
85,3,162605
86,3,163201
87,3,138901
88,3,218589
89,3,217364
90,3,235184
91,3,215092
92,4,260018
93,4,227395
94,4,260338
95,4,245847
96,4,251584
97,4,214522
98,4,226795
99,4,250597
100,4,248285
101,4,227017
102,4,254875
103,4,238840
104,4,255576
105,4,220441
106,4,235916
107,4,217711
108,4,215063
109,4,241374
110,4,236706
111,4,242400
112,4,223382
113,4,219721
114,4,216814
115,4,248757
116,4,257956
117,4,197467
118,4,189784
119,4,240255
120,4,260238
121,4,221044
122,4,222614
123,4,219887
124,4,177333
125,4,241329
126,4,185307
127,4,187660
128,4,209199
129,4,230574
130,4,228218
131,4,213363
132,4,236696
133,4,245778
134,4,222954
135,4,210583
136,4,247423
137,4,266281
138,4,218176
139,4,239724
140,4,254423
141,4,243586
142,4,214889
143,4,207445
144,4,250509
145,4,222877
146,4,223930
147,5,195541
148,5,215425
149,5,214533
150,5,228740
151,5,240007
152,5,250829
153,5,207285
154,5,191085
155,5,249557
156,5,239347
157,5,247900
158,5,212415
159,5,240340
160,5,308058
161,5,221936
162,5,221245
163,5,200748
164,5,224476
165,5,228986
166,5,265041
167,5,194768
168,5,237697
169,5,188457
170,5,273651
171,5,307377
172,5,270987
173,5,255250
174,5,284062
175,5,245105
176,5,212132
177,5,238695
178,5,265044
179,5,244634
180,5,207690
181,5,224102
182,5,275881
183,5,265373
184,5,241660
185,5,251468
186,6,228129
187,6,268124
188,6,274870
189,6,242786
190,6,226905
191,6,160337
192,6,211471
193,6,238998
194,6,244175
195,6,216865
196,6,184156
197,6,209388
198,6,232367
199,6,224375
200,6,238600
201,6,205763
202,6,219432
203,6,230140
204,6,253036
205,6,222323
206,6,210802
207,6,262464
208,6,229221
209,6,135803
210,6,197596
211,7,198533
212,7,204889
213,7,204435
214,7,230517
215,7,162494
216,7,184694
217,7,203428
218,7,245301
219,7,193503
220,7,199949
221,7,205965
222,7,142790
223,7,255186
224,7,236452
225,7,228955
226,8,239016
227,8,226205
228,8,238284
229,8,214104
230,8,242635
231,8,257734
232,8,211938
233,8,218072
234,8,242881
235,8,258592
236,8,199780
237,8,222454
238,8,230600
239,8,185165
240,8,271880
241,8,203481
242,8,232666
243,8,249574
244,8,179749
245,8,243784
246,8,207183
247,8,224967
248,8,223071
249,8,256187
250,8,213350
251,8,201234
252,8,229838
253,8,232683
254,8,222556
255,8,207502
256,8,260999
257,8,220516
258,8,215780
259,8,261460
260,8,249513
261,8,235441
262,8,206076
263,8,266681
264,8,273120
265,8,232364
266,8,200543
267,8,209920
268,8,292625
269,8,238871
270,8,232839
271,8,201228
272,8,200114
273,8,229849
274,8,222739
275,8,257279
276,8,228311
277,8,233198
278,8,250419
279,8,231987
280,8,188419
281,8,270874
282,8,225810
283,9,213521
284,9,196673
285,9,185162
286,9,205976
287,9,218847
288,9,229921
289,9,221405
290,9,242683
291,9,188379
292,9,222344
293,9,224073
294,9,211289
295,9,219413
296,9,172665
297,9,269566
298,9,192919
299,9,222233
300,9,213021
301,9,230781
302,9,235364
303,9,225691
304,9,250056
305,9,219311
306,9,161913
307,9,188922
308,9,209035
309,9,190898
310,9,261821
311,9,221623
312,9,239616
313,9,255181
314,9,193100
315,9,268811
316,10,220316
317,10,281180
318,10,240073
319,10,216087
320,10,248169
321,10,259371
322,10,218312
323,10,245857
324,10,205003
325,10,207149
326,10,210886
327,10,245309
328,10,226953
329,10,221787
330,10,213152
331,10,213524
332,10,196960
333,10,244943
334,10,250266
335,10,249414
336,10,256911
337,10,198130
338,10,285482
339,10,207427
340,10,204662
341,10,243258
342,10,171553
343,10,233854
344,10,218234
345,10,191361
346,10,234753
347,10,218310
348,10,191919
349,11,242603
350,11,204341
351,11,241799
352,11,224166
353,11,168872
354,11,195847
355,11,211677
356,11,183783
357,11,193026
358,11,265845
359,11,247498
360,11,245635
361,11,222846
362,11,247513
363,11,246624
364,11,234001
365,11,234557
366,11,237303
367,11,211903
368,11,217759
369,11,236507
370,11,247516
371,11,243652
372,11,237206
373,11,195479
374,11,246153
375,11,250517
376,11,202862
377,11,262742
378,11,237813
379,11,237696
380,12,237692
